datetime,temperature_c,humidity_percent,wind_speed_kmh,city
2026-09-18T00:00,21.7,58,2.9,Marrakech
2026-09-18T01:00,20.9,62,3.1,Marrakech
2026-09-18T02:00,20.3,66,2.5,Marrakech
2026-09-18T03:00,19.6,69,1.8,Marrakech
2026-09-18T04:00,19.1,72,1.4,Marrakech
2026-09-18T05:00,18.7,75,2.0,Marrakech
2026-09-18T06:00,18.1,78,2.3,Marrakech
2026-09-18T07:00,18.0,79,2.0,Marrakech
2026-09-18T08:00,19.4,72,1.4,Marrakech
2026-09-18T09:00,21.5,62,1.5,Marrakech
2026-09-18T10:00,23.8,54,3.0,Marrakech
2026-09-18T11:00,26.0,47,4.3,Marrakech
2026-09-18T12:00,28.1,42,5.2,Marrakech
2026-09-18T13:00,29.8,38,6.1,Marrakech
2026-09-18T14:00,31.0,34,6.6,Marrakech
2026-09-18T15:00,31.8,31,6.9,Marrakech
2026-09-18T16:00,32.0,30,6.5,Marrakech
2026-09-18T17:00,31.8,30,6.9,Marrakech
2026-09-18T18:00,30.9,33,7.4,Marrakech
2026-09-18T19:00,29.4,37,5.9,Marrakech
2026-09-18T20:00,28.0,40,5.6,Marrakech
2026-09-18T21:00,26.5,45,7.1,Marrakech
2026-09-18T22:00,25.2,52,6.9,Marrakech
2026-09-18T23:00,24.5,54,4.9,Marrakech
2026-09-18T00:00,20.2,80,2.3,Casablanca
2026-09-18T01:00,19.6,83,2.7,Casablanca
2026-09-18T02:00,18.9,87,2.6,Casablanca
2026-09-18T03:00,18.7,86,2.8,Casablanca
2026-09-18T04:00,18.7,86,2.5,Casablanca
2026-09-18T05:00,18.5,86,2.8,Casablanca
2026-09-18T06:00,18.3,87,2.1,Casablanca
2026-09-18T07:00,18.5,86,2.1,Casablanca
2026-09-18T08:00,19.9,80,1.8,Casablanca
2026-09-18T09:00,21.7,70,4.1,Casablanca
2026-09-18T10:00,23.1,64,5.4,Casablanca
2026-09-18T11:00,24.2,60,7.3,Casablanca
2026-09-18T12:00,24.8,60,9.5,Casablanca
2026-09-18T13:00,24.8,60,11.3,Casablanca
2026-09-18T14:00,24.9,61,12.7,Casablanca
2026-09-18T15:00,24.7,63,13.0,Casablanca
2026-09-18T16:00,24.3,65,12.6,Casablanca
2026-09-18T17:00,23.8,67,11.6,Casablanca
2026-09-18T18:00,23.1,69,10.5,Casablanca
2026-09-18T19:00,22.3,75,6.8,Casablanca
2026-09-18T20:00,21.6,81,3.9,Casablanca
2026-09-18T21:00,21.0,84,3.3,Casablanca
2026-09-18T22:00,20.5,88,2.6,Casablanca
2026-09-18T23:00,20.3,91,1.5,Casablanca
2026-09-18T00:00,18.9,86,2.8,Rabat
2026-09-18T01:00,18.5,89,3.1,Rabat
2026-09-18T02:00,18.2,91,2.5,Rabat
2026-09-18T03:00,18.0,92,2.8,Rabat
2026-09-18T04:00,17.7,93,2.8,Rabat
2026-09-18T05:00,17.1,95,2.8,Rabat
2026-09-18T06:00,16.4,97,2.8,Rabat
2026-09-18T07:00,16.4,97,2.5,Rabat
2026-09-18T08:00,19.3,82,1.9,Rabat
2026-09-18T09:00,22.1,67,3.4,Rabat
2026-09-18T10:00,24.0,59,6.5,Rabat
2026-09-18T11:00,25.1,56,9.3,Rabat
2026-09-18T12:00,25.3,55,11.6,Rabat
2026-09-18T13:00,25.6,54,12.4,Rabat
2026-09-18T14:00,25.5,60,13.9,Rabat
2026-09-18T15:00,25.4,61,14.0,Rabat
2026-09-18T16:00,25.0,61,13.7,Rabat
2026-09-18T17:00,24.1,65,12.8,Rabat
2026-09-18T18:00,23.3,67,8.3,Rabat
2026-09-18T19:00,22.2,77,2.3,Rabat
2026-09-18T20:00,21.6,80,2.6,Rabat
2026-09-18T21:00,20.3,85,3.8,Rabat
2026-09-18T22:00,19.8,86,3.8,Rabat
2026-09-18T23:00,19.6,86,3.4,Rabat
2026-09-18T00:00,19.7,74,4.3,Tanger
2026-09-18T01:00,19.3,77,3.3,Tanger
2026-09-18T02:00,19.0,84,2.9,Tanger
2026-09-18T03:00,18.7,86,2.5,Tanger
2026-09-18T04:00,18.5,87,2.6,Tanger
2026-09-18T05:00,18.3,88,3.2,Tanger
2026-09-18T06:00,18.2,86,3.1,Tanger
2026-09-18T07:00,18.9,87,3.3,Tanger
2026-09-18T08:00,21.5,80,4.8,Tanger
2026-09-18T09:00,24.8,66,13.7,Tanger
2026-09-18T10:00,26.3,59,16.2,Tanger
2026-09-18T11:00,27.3,56,17.7,Tanger
2026-09-18T12:00,27.9,54,19.1,Tanger
2026-09-18T13:00,28.0,54,20.1,Tanger
2026-09-18T14:00,27.9,55,21.2,Tanger
2026-09-18T15:00,27.5,57,21.3,Tanger
2026-09-18T16:00,27.0,59,20.8,Tanger
2026-09-18T17:00,26.0,64,19.1,Tanger
2026-09-18T18:00,24.4,74,18.3,Tanger
2026-09-18T19:00,23.3,79,16.6,Tanger
2026-09-18T20:00,22.7,82,16.5,Tanger
2026-09-18T21:00,22.6,83,16.2,Tanger
2026-09-18T22:00,22.7,82,16.6,Tanger
2026-09-18T23:00,22.7,81,17.0,Tanger
2026-09-18T00:00,20.9,74,8.9,Agadir
2026-09-18T01:00,20.5,77,5.5,Agadir
2026-09-18T02:00,20.1,82,1.5,Agadir
2026-09-18T03:00,19.9,83,2.9,Agadir
2026-09-18T04:00,19.6,87,3.4,Agadir
2026-09-18T05:00,19.5,89,2.3,Agadir
2026-09-18T06:00,19.4,88,1.1,Agadir
2026-09-18T07:00,19.5,87,1.8,Agadir
2026-09-18T08:00,20.3,83,2.4,Agadir
2026-09-18T09:00,21.1,81,4.6,Agadir
2026-09-18T10:00,22.1,76,6.6,Agadir
2026-09-18T11:00,22.7,71,8.5,Agadir
2026-09-18T12:00,23.3,70,9.8,Agadir
2026-09-18T13:00,23.9,67,9.6,Agadir
2026-09-18T14:00,24.3,66,8.7,Agadir
2026-09-18T15:00,24.5,68,7.0,Agadir
2026-09-18T16:00,24.4,69,5.8,Agadir
2026-09-18T17:00,24.1,67,7.8,Agadir
